time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-05 00:00:00+00:00,7,5,51,12
2026-01-06 00:00:00+00:00,2,2,18,10
2026-01-07 00:00:00+00:00,1,1,21,12
2026-01-08 00:00:00+00:00,13,3,12,10
2026-01-09 00:00:00+00:00,7,5,20,5
2026-01-10 00:00:00+00:00,2,2,11,7
2026-01-11 00:00:00+00:00,2,2,5,5
2026-01-12 00:00:00+00:00,2,2,8,5
2026-01-13 00:00:00+00:00,0,0,16,5
2026-01-14 00:00:00+00:00,0,0,8,8
2026-01-15 00:00:00+00:00,1,1,8,7
2026-01-16 00:00:00+00:00,5,5,25,8
2026-01-17 00:00:00+00:00,1,1,11,6
2026-01-18 00:00:00+00:00,2,1,11,5
