time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-22 00:00:00+00:00,1.0,1.0,32,13
2024-04-23 00:00:00+00:00,,,44,7
2024-04-24 00:00:00+00:00,4.0,3.0,9,9
2024-04-25 00:00:00+00:00,,,58,12
2024-04-26 00:00:00+00:00,2.0,1.0,9,5
2024-04-27 00:00:00+00:00,1.0,1.0,31,6
2024-04-28 00:00:00+00:00,1.0,1.0,22,8
2024-04-29 00:00:00+00:00,,,16,10
2024-04-30 00:00:00+00:00,,,26,10
2024-05-01 00:00:00+00:00,,,7,7
2024-05-02 00:00:00+00:00,,,23,7
2024-05-03 00:00:00+00:00,3.0,1.0,8,8
2024-05-04 00:00:00+00:00,,,22,11
2024-05-05 00:00:00+00:00,2.0,1.0,48,25
