time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-10 00:00:00+00:00,2.0,2.0,3,3
2023-01-11 00:00:00+00:00,,,6,3
2023-01-12 00:00:00+00:00,1.0,1.0,14,6
2023-01-13 00:00:00+00:00,,,5,4
2023-01-14 00:00:00+00:00,,,2,1
2023-01-15 00:00:00+00:00,,,6,2
2023-01-16 00:00:00+00:00,,,9,3
2023-01-17 00:00:00+00:00,1.0,1.0,12,4
2023-01-18 00:00:00+00:00,1.0,1.0,6,4
2023-01-19 00:00:00+00:00,,,3,1
2023-01-20 00:00:00+00:00,,,10,5
2023-01-21 00:00:00+00:00,,,1,1
2023-01-22 00:00:00+00:00,,,8,3
2023-01-23 00:00:00+00:00,1.0,1.0,1,1
