time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-08 00:00:00+00:00,2.0,2.0,39,7
2024-04-09 00:00:00+00:00,,,19,10
2024-04-10 00:00:00+00:00,3.0,3.0,89,7
2024-04-11 00:00:00+00:00,1.0,1.0,67,14
2024-04-12 00:00:00+00:00,1.0,1.0,26,9
2024-04-13 00:00:00+00:00,2.0,2.0,33,3
2024-04-14 00:00:00+00:00,,,17,6
2024-04-15 00:00:00+00:00,1.0,1.0,13,5
2024-04-16 00:00:00+00:00,,,52,9
2024-04-17 00:00:00+00:00,1.0,1.0,6,4
2024-04-18 00:00:00+00:00,1.0,1.0,18,8
2024-04-19 00:00:00+00:00,2.0,2.0,33,9
2024-04-20 00:00:00+00:00,1.0,1.0,21,9
2024-04-21 00:00:00+00:00,,,10,4
