time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-08 00:00:00+00:00,,,31,12
2023-05-09 00:00:00+00:00,1.0,1.0,139,12
2023-05-10 00:00:00+00:00,1.0,1.0,19,7
2023-05-11 00:00:00+00:00,4.0,2.0,27,10
2023-05-12 00:00:00+00:00,2.0,1.0,61,16
2023-05-13 00:00:00+00:00,,,9,8
2023-05-14 00:00:00+00:00,1.0,1.0,30,8
2023-05-15 00:00:00+00:00,1.0,1.0,7,7
2023-05-16 00:00:00+00:00,1.0,1.0,29,10
2023-05-17 00:00:00+00:00,1.0,1.0,37,13
2023-05-18 00:00:00+00:00,3.0,3.0,64,13
2023-05-19 00:00:00+00:00,1.0,1.0,23,12
2023-05-20 00:00:00+00:00,5.0,3.0,9,6
2023-05-21 00:00:00+00:00,4.0,3.0,15,6
