time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,1,1,10,4
2026-07-01 00:00:00+00:00,1,1,9,6
2026-07-02 00:00:00+00:00,2,2,8,8
2026-07-03 00:00:00+00:00,0,0,13,8
2026-07-04 00:00:00+00:00,2,2,4,4
2026-07-05 00:00:00+00:00,2,2,12,4
2026-07-06 00:00:00+00:00,1,1,3,3
2026-07-07 00:00:00+00:00,0,0,9,4
2026-07-08 00:00:00+00:00,3,3,4,3
2026-07-09 00:00:00+00:00,7,5,21,6
2026-07-10 00:00:00+00:00,4,4,13,4
2026-07-11 00:00:00+00:00,2,2,7,5
2026-07-12 00:00:00+00:00,2,2,4,4
2026-07-13 00:00:00+00:00,1,1,2,2
